Incoming message from Client is : 55.0	0.0	0.0
Incoming message from Client is : -43.66399461686373	0.7012776607827964	16.19999999999996	
Outgoing message to Client is : -47.68405764045938	0.5564023599577497	16.29999999999996	

Incoming message from Client is : -47.68405764045938	0.5564023599577497	16.29999999999996	
Outgoing message to Client is : -50.87362530900699	0.40440987125943806	16.399999999999963	

Incoming message from Client is : -50.87362530900699	0.40440987125943806	16.399999999999963	
Outgoing message to Client is : -53.19189845635408	0.24753841125297993	16.499999999999964	

Incoming message from Client is : -53.19189845635408	0.24753841125297993	16.499999999999964	
Outgoing message to Client is : -54.61090845716734	0.08780661586014726	16.599999999999966	

Incoming message from Client is : -54.61090845716734	0.08780661586014726	16.599999999999966	
Outgoing message to Client is : -55.114258484391115	-0.07291636832163148	16.699999999999967	

Incoming message from Client is : -55.114258484391115	-0.07291636832163148	16.699999999999967	
Outgoing message to Client is : -54.69626656407603	-0.23281711876996916	16.79999999999997	

Incoming message from Client is : -54.69626656407603	-0.23281711876996916	16.79999999999997	
Outgoing message to Client is : -53.361646138006144	-0.3900358399031332	16.89999999999997	

Incoming message from Client is : -53.361646138006144	-0.3900358399031332	16.89999999999997	
Outgoing message to Client is : -51.12577189652321	-0.5425711818973439	16.99999999999997	

Incoming message from Client is : -51.12577189652321	-0.5425711818973439	16.99999999999997	
Outgoing message to Client is : -48.01549123596519	-0.6882073070623698	17.099999999999973	

Incoming message from Client is : -48.01549123596519	-0.6882073070623698	17.099999999999973	
Outgoing message to Client is : -44.070353806945235	-0.8244784454331109	17.199999999999974	

Incoming message from Client is : -44.070353806945235	-0.8244784454331109	17.199999999999974	
Outgoing message to Client is : -39.344044247137596	-0.9486848787203415	17.299999999999976	

Incoming message from Client is : -39.344044247137596	-0.9486848787203415	17.299999999999976	
Outgoing message to Client is : -33.905723286320345	-1.0579703634811404	17.399999999999977	

Incoming message from Client is : -33.905723286320345	-1.0579703634811404	17.399999999999977	
Outgoing message to Client is : -27.84092502432655	-1.1494632650388563	17.49999999999998	

Incoming message from Client is : -27.84092502432655	-1.1494632650388563	17.49999999999998	
Outgoing message to Client is : -21.251645161046483	-1.220472015601938	17.59999999999998	

Incoming message from Client is : -21.251645161046483	-1.220472015601938	17.59999999999998	
Outgoing message to Client is : -14.255308765876135	-1.268711701482867	17.69999999999998	

